candidate,term,tf,tf_per_k
artes,estudiar,7,0.45892611289582375
artes,particular,7,0.45892611289582375
artes,principalmente,7,0.45892611289582375
artes,agricolas,7,0.45892611289582375
artes,capitales,7,0.45892611289582375
artes,electrica,7,0.45892611289582375
artes,conformaran,7,0.45892611289582375
artes,papel,7,0.45892611289582375
artes,estrategico,7,0.45892611289582375
artes,territorial,7,0.45892611289582375
artes,solidaridad,7,0.45892611289582375
artes,presidente,7,0.45892611289582375
artes,traspaso,7,0.45892611289582375
artes,pobladores,7,0.45892611289582375
artes,basada,7,0.45892611289582375
artes,discriminacion,7,0.45892611289582375
artes,primordial,7,0.45892611289582375
artes,constituiran,7,0.45892611289582375
artes,precio,7,0.45892611289582375
artes,decisiones,7,0.45892611289582375
artes,tendran,7,0.45892611289582375
artes,inteligencia,7,0.45892611289582375
artes,reducir,7,0.45892611289582375
artes,promover,7,0.45892611289582375
artes,velocidad,7,0.45892611289582375
artes,confrontar,7,0.45892611289582375
artes,inmediata,7,0.45892611289582375
artes,desarrollara,7,0.45892611289582375
artes,inmediatamente,7,0.45892611289582375
artes,estructurales,7,0.45892611289582375
artes,proyecto,7,0.45892611289582375
artes,synco,7,0.45892611289582375
artes,sueldos,7,0.45892611289582375
artes,plurinacional,7,0.45892611289582375
artes,publica,7,0.45892611289582375
artes,ciudades,7,0.45892611289582375
artes,primaria,7,0.45892611289582375
artes,capitalizacion,7,0.45892611289582375
artes,crianza,7,0.45892611289582375
artes,aguas,7,0.45892611289582375
artes,perspectiva,6,0.3933652396249918
artes,capitalismo,6,0.3933652396249918
artes,riquezas,6,0.3933652396249918
artes,importancia,6,0.3933652396249918
artes,prestamos,6,0.3933652396249918
artes,organismos,6,0.3933652396249918
artes,servicios,6,0.3933652396249918
artes,estructuralmente,6,0.3933652396249918
artes,inmediato,6,0.3933652396249918
artes,nacion,6,0.3933652396249918
artes,destruccion,6,0.3933652396249918
artes,d,6,0.3933652396249918
artes,bienestar,6,0.3933652396249918
artes,duenos,6,0.3933652396249918
artes,empero,6,0.3933652396249918
artes,cuentas,6,0.3933652396249918
artes,n,6,0.3933652396249918
artes,crisis,6,0.3933652396249918
artes,generalizada,6,0.3933652396249918
artes,unica,6,0.3933652396249918
artes,industrializar,6,0.3933652396249918
artes,frente,6,0.3933652396249918
artes,fascista,6,0.3933652396249918
artes,amenaza,6,0.3933652396249918
artes,centrales,6,0.3933652396249918
artes,posibilidades,6,0.3933652396249918
artes,establecer,6,0.3933652396249918
artes,explotan,6,0.3933652396249918
artes,huelga,6,0.3933652396249918
artes,sindicatos,6,0.3933652396249918
artes,tratados,6,0.3933652396249918
artes,precisamente,6,0.3933652396249918
artes,voluntad,6,0.3933652396249918
artes,relacion,6,0.3933652396249918
artes,capaz,6,0.3933652396249918
artes,juridico,6,0.3933652396249918
artes,necesita,6,0.3933652396249918
artes,soberana,6,0.3933652396249918
artes,viabilidad,6,0.3933652396249918
artes,menores,6,0.3933652396249918
artes,ecologico,6,0.3933652396249918
artes,madre,6,0.3933652396249918
artes,rol,6,0.3933652396249918
artes,renovables,6,0.3933652396249918
artes,hectareas,6,0.3933652396249918
artes,grave,6,0.3933652396249918
artes,nuclear,6,0.3933652396249918
artes,mixto,6,0.3933652396249918
artes,cargo,6,0.3933652396249918
artes,propietario,6,0.3933652396249918
artes,reconocimiento,6,0.3933652396249918
artes,autodeterminacion,6,0.3933652396249918
artes,patriotismo,6,0.3933652396249918
artes,toma,6,0.3933652396249918
artes,historicamente,6,0.3933652396249918
artes,ejercicio,6,0.3933652396249918
artes,casa,6,0.3933652396249918
artes,apoyara,6,0.3933652396249918
artes,comerciales,6,0.3933652396249918
artes,economicamente,6,0.3933652396249918
artes,objeto,6,0.3933652396249918
artes,acciones,6,0.3933652396249918
